away_points,away_team,cumpointdiff_away,cumpointdiff_home,date,daysoff_away,daysoff_home,game_count_away,game_count_home,home_points,home_team,time,win10_away,win10_home,win1_away,win1_home,win3_away,win3_home,win5_away,win5_home,winner,winrate_away,winrate_home
115.0,New Jersey Nets,-10.6,5.9,2012-01-11,1.0,1.0,11.0,11.0,123.0,Denver Nuggets,7:00 pm,0.2,0.6,0.0,0.0,0.333333333333,0.333333333333,0.2,0.6,1,0.2,0.6
98.0,Sacramento Kings,-10.4,-4.8,2012-01-11,0.0,0.0,11.0,11.0,91.0,Toronto Raptors,7:00 pm,0.3,0.4,0.0,0.0,0.333333333333,0.333333333333,0.2,0.4,0,0.3,0.4
81.0,Charlotte Bobcats,-11.0,5.72727272727,2012-01-12,1.0,0.0,11.0,12.0,111.0,Atlanta Hawks,7:30 pm,0.2,0.6,0.0,0.0,0.0,0.666666666667,0.2,0.6,1,0.2,0.636363636364
98.0,Detroit Pistons,-11.7272727273,-12.7272727273,2012-01-13,0.0,0.0,12.0,12.0,81.0,Charlotte Bobcats,7:00 pm,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.181818181818,0.181818181818
76.0,Milwaukee Bucks,-0.7,-0.454545454545,2012-01-13,0.0,1.0,11.0,12.0,102.0,Dallas Mavericks,7:30 pm,0.4,0.6,1.0,1.0,0.666666666667,1.0,0.4,0.8,1,0.4,0.545454545455
104.0,Miami Heat,8.63636363636,6.09090909091,2012-01-13,1.0,1.0,12.0,12.0,117.0,Denver Nuggets,8:30 pm,0.7,0.6,0.0,1.0,0.333333333333,0.333333333333,0.6,0.6,1,0.727272727273,0.636363636364
89.0,Sacramento Kings,-8.81818181818,-4.7,2012-01-13,1.0,1.0,12.0,11.0,103.0,Houston Rockets,7:00 pm,0.3,0.3,1.0,0.0,0.333333333333,0.333333333333,0.4,0.2,1,0.363636363636,0.3
92.0,Cleveland Cavaliers,1.0,4.83333333333,2012-01-13,0.0,1.0,11.0,13.0,97.0,Los Angeles Lakers,7:30 pm,0.5,0.8,1.0,1.0,0.333333333333,1.0,0.4,0.8,1,0.5,0.666666666667
87.0,Minnesota Timberwolves,0.3,-4.3,2012-01-13,2.0,1.0,11.0,11.0,80.0,New Orleans Hornets,7:00 pm,0.3,0.3,0.0,0.0,0.333333333333,0.333333333333,0.2,0.2,0,0.3,0.3
89.0,Washington Wizards,-10.2,13.8,2012-01-13,1.0,1.0,11.0,11.0,120.0,Philadelphia 76ers,7:00 pm,0.1,0.7,0.0,0.0,0.333333333333,0.666666666667,0.2,0.8,1,0.1,0.7
110.0,New Jersey Nets,-10.3636363636,0.0,2012-01-13,1.0,0.0,12.0,11.0,103.0,Phoenix Suns,7:00 pm,0.1,0.4,0.0,0.0,0.0,0.333333333333,0.2,0.4,0,0.181818181818,0.4
83.0,Portland Trail Blazers,5.1,4.18181818182,2012-01-13,1.0,1.0,11.0,12.0,99.0,San Antonio Spurs,7:30 pm,0.7,0.6,0.0,1.0,0.666666666667,0.333333333333,0.6,0.6,1,0.7,0.636363636364
95.0,Indiana Pacers,3.2,-5.0,2012-01-13,1.0,1.0,11.0,12.0,90.0,Toronto Raptors,7:00 pm,0.7,0.3,1.0,0.0,0.666666666667,0.333333333333,0.6,0.2,0,0.7,0.363636363636
91.0,Minnesota Timberwolves,0.909090909091,7.75,2012-01-14,0.0,1.0,12.0,13.0,93.0,Atlanta Hawks,7:00 pm,0.4,0.6,1.0,1.0,0.333333333333,0.666666666667,0.4,0.8,1,0.363636363636,0.666666666667
100.0,Golden State Warriors,-5.3,-13.0833333333,2012-01-14,1.0,0.0,11.0,13.0,112.0,Charlotte Bobcats,7:00 pm,0.3,0.1,0.0,0.0,0.333333333333,0.0,0.2,0.0,1,0.3,0.166666666667
64.0,Toronto Raptors,-5.0,10.0769230769,2012-01-14,0.0,0.0,13.0,14.0,77.0,Chicago Bulls,7:00 pm,0.3,0.9,0.0,1.0,0.0,1.0,0.2,0.8,1,0.333333333333,0.846153846154
60.0,Sacramento Kings,-9.25,1.75,2012-01-14,0.0,0.0,13.0,13.0,99.0,Dallas Mavericks,8:00 pm,0.3,0.7,0.0,1.0,0.333333333333,1.0,0.4,0.8,1,0.333333333333,0.583333333333
105.0,Portland Trail Blazers,3.18181818182,-3.0,2012-01-14,0.0,0.0,12.0,12.0,107.0,Houston Rockets,7:00 pm,0.6,0.4,0.0,1.0,0.333333333333,0.666666666667,0.4,0.4,1,0.636363636364,0.363636363636
83.0,Boston Celtics,-1.0,3.36363636364,2012-01-14,0.0,0.0,11.0,12.0,97.0,Indiana Pacers,7:00 pm,0.4,0.7,0.0,1.0,0.0,0.666666666667,0.4,0.8,1,0.4,0.727272727273
99.0,New Orleans Hornets,-4.54545454545,-2.6,2012-01-14,0.0,1.0,12.0,11.0,108.0,Memphis Grizzlies,7:00 pm,0.2,0.4,0.0,1.0,0.333333333333,0.333333333333,0.2,0.4,1,0.272727272727,0.4
92.0,New York Knicks,0.454545454545,4.08333333333,2012-01-14,1.0,2.0,12.0,13.0,104.0,Oklahoma City Thunder,7:00 pm,0.5,0.8,0.0,1.0,0.666666666667,1.0,0.8,1.0,1,0.545454545455,0.833333333333
94.0,New Jersey Nets,-8.91666666667,-2.3,2012-01-14,0.0,2.0,13.0,11.0,107.0,Utah Jazz,7:00 pm,0.2,0.6,1.0,0.0,0.333333333333,0.666666666667,0.4,0.8,1,0.25,0.6
103.0,Philadelphia 76ers,15.3636363636,-12.0909090909,2012-01-14,0.0,0.0,12.0,12.0,90.0,Washington Wizards,7:00 pm,0.8,0.1,1.0,0.0,0.666666666667,0.333333333333,0.8,0.2,0,0.727272727273,0.0909090909091
106.0,Utah Jazz,-0.909090909091,6.66666666667,2012-01-15,0.0,1.0,12.0,13.0,96.0,Denver Nuggets,6:00 pm,0.7,0.6,1.0,1.0,0.666666666667,0.666666666667,0.8,0.6,0,0.636363636364,0.666666666667
99.0,Golden State Warriors,-5.90909090909,-9.33333333333,2012-01-15,0.0,1.0,12.0,13.0,91.0,Detroit Pistons,6:00 pm,0.3,0.3,0.0,1.0,0.333333333333,0.333333333333,0.2,0.2,0,0.272727272727,0.25
91.0,Phoenix Suns,-0.636363636364,5.16666666667,2012-01-15,1.0,1.0,12.0,13.0,102.0,San Antonio Spurs,8:00 pm,0.4,0.6,0.0,1.0,0.0,0.666666666667,0.4,0.6,1,0.363636363636,0.666666666667
84.0,Toronto Raptors,-5.61538461538,7.30769230769,2012-01-16,1.0,1.0,14.0,14.0,93.0,Atlanta Hawks,4:00 pm,0.3,0.6,0.0,1.0,0.0,0.666666666667,0.2,0.8,1,0.307692307692,0.692307692308
97.0,Oklahoma City Thunder,4.69230769231,-2.18181818182,2012-01-16,1.0,1.0,14.0,12.0,88.0,Boston Celtics,8:00 pm,0.8,0.4,1.0,0.0,1.0,0.0,1.0,0.2,0,0.846153846154,0.363636363636
102.0,Cleveland Cavaliers,0.454545454545,-11.1538461538,2012-01-16,2.0,1.0,12.0,14.0,94.0,Charlotte Bobcats,2:00 pm,0.5,0.2,0.0,1.0,0.333333333333,0.333333333333,0.4,0.2,0,0.454545454545,0.230769230769
70.0,Dallas Mavericks,4.61538461538,3.92857142857,2012-01-16,1.0,1.0,14.0,15.0,73.0,Los Angeles Lakers,7:30 pm,0.8,0.7,1.0,0.0,1.0,0.666666666667,1.0,0.8,1,0.615384615385,0.642857142857
86.0,Chicago Bulls,10.2857142857,-1.54545454545,2012-01-16,1.0,1.0,15.0,12.0,102.0,Memphis Grizzlies,12:00 pm,0.9,0.5,1.0,1.0,1.0,0.666666666667,1.0,0.4,1,0.857142857143,0.454545454545
86.0,Sacramento Kings,-11.5384615385,0.666666666667,2012-01-16,1.0,1.0,14.0,13.0,99.0,Minnesota Timberwolves,7:00 pm,0.3,0.4,0.0,0.0,0.333333333333,0.333333333333,0.2,0.4,1,0.307692307692,0.333333333333
84.0,Portland Trail Blazers,2.75,-4.91666666667,2012-01-16,1.0,1.0,13.0,13.0,77.0,New Orleans Hornets,2:00 pm,0.5,0.1,0.0,0.0,0.0,0.0,0.4,0.2,0,0.583333333333,0.25
102.0,Orlando Magic,5.0,-0.583333333333,2012-01-16,3.0,1.0,12.0,13.0,93.0,New York Knicks,1:00 pm,0.8,0.5,1.0,0.0,1.0,0.333333333333,0.8,0.6,0,0.727272727273,0.5
82.0,Milwaukee Bucks,-3.0,15.1666666667,2012-01-16,2.0,1.0,12.0,13.0,94.0,Philadelphia 76ers,2:00 pm,0.4,0.8,0.0,1.0,0.666666666667,0.666666666667,0.4,0.8,1,0.363636363636,0.75
114.0,Houston Rockets,-2.58333333333,-12.1666666667,2012-01-16,1.0,1.0,13.0,13.0,106.0,Washington Wizards,2:00 pm,0.4,0.1,1.0,0.0,0.666666666667,0.0,0.6,0.2,0,0.416666666667,0.0833333333333
97.0,Phoenix Suns,-1.5,8.53333333333,2012-01-17,1.0,0.0,13.0,16.0,118.0,Chicago Bulls,7:00 pm,0.4,0.8,0.0,0.0,0.0,0.666666666667,0.2,0.8,1,0.333333333333,0.8
105.0,Golden State Warriors,-4.75,1.08333333333,2012-01-17,1.0,0.0,13.0,13.0,95.0,Cleveland Cavaliers,7:00 pm,0.3,0.5,1.0,1.0,0.333333333333,0.666666666667,0.4,0.4,0,0.333333333333,0.5
