away_points,away_team,cumpointdiff_away,cumpointdiff_home,date,daysoff_away,daysoff_home,game_count_away,game_count_home,home_points,home_team,time,win10_away,win10_home,win1_away,win1_home,win3_away,win3_home,win5_away,win5_home,winner,winrate_away,winrate_home
88,Oklahoma City Thunder,2.0,0.7,2016-11-14,0.0,1.0,11.0,11.0,104,Detroit Pistons,7:30 pm,0.6,0.5,0.0,1.0,0.0,0.333333333333,0.4,0.4,1,0.6,0.5
69,Orlando Magic,-9.1,-3.6,2016-11-14,0.0,1.0,11.0,11.0,88,Indiana Pacers,7:00 pm,0.4,0.4,1.0,0.0,0.333333333333,0.333333333333,0.4,0.4,1,0.4,0.4
118,Brooklyn Nets,-4.3,1.09090909091,2016-11-15,0.0,1.0,11.0,12.0,125,Los Angeles Lakers,10:30 pm,0.4,0.5,0.0,0.0,0.333333333333,0.666666666667,0.4,0.6,1,0.4,0.545454545455
113,Chicago Bulls,5.4,-2.36363636364,2016-11-15,2.0,1.0,11.0,12.0,88,Portland Trail Blazers,10:00 pm,0.6,0.6,1.0,1.0,0.666666666667,0.666666666667,0.6,0.8,0,0.6,0.636363636364
104,Phoenix Suns,-7.27272727273,-4.1,2016-11-16,2.0,2.0,12.0,11.0,120,Denver Nuggets,9:00 pm,0.3,0.3,0.0,0.0,0.333333333333,0.0,0.2,0.2,1,0.272727272727,0.3
93,Cleveland Cavaliers,7.1,-1.54545454545,2016-11-16,0.0,1.0,11.0,12.0,103,Indiana Pacers,7:00 pm,0.9,0.4,1.0,1.0,1.0,0.333333333333,0.8,0.4,1,0.9,0.454545454545
111,Memphis Grizzlies,-4.4,16.6363636364,2016-11-16,1.0,1.0,11.0,12.0,107,Los Angeles Clippers,10:30 pm,0.5,0.9,1.0,1.0,0.666666666667,1.0,0.4,1.0,0,0.5,0.909090909091
102,Detroit Pistons,2.09090909091,-5.5,2016-11-16,1.0,1.0,12.0,11.0,105,New York Knicks,7:30 pm,0.6,0.4,1.0,1.0,0.666666666667,0.333333333333,0.4,0.4,1,0.545454545455,0.4
103,Houston Rockets,3.0,0.363636363636,2016-11-16,1.0,1.0,11.0,12.0,105,Oklahoma City Thunder,8:00 pm,0.6,0.5,1.0,0.0,0.666666666667,0.0,0.6,0.2,1,0.6,0.545454545455
82,New Orleans Pelicans,-7.36363636364,-10.0,2016-11-16,1.0,1.0,12.0,12.0,89,Orlando Magic,7:00 pm,0.2,0.4,1.0,0.0,0.666666666667,0.333333333333,0.4,0.2,1,0.181818181818,0.363636363636
110,San Antonio Spurs,5.09090909091,-3.81818181818,2016-11-16,1.0,4.0,12.0,12.0,105,Sacramento Kings,10:30 pm,0.7,0.3,1.0,0.0,1.0,0.333333333333,0.6,0.4,0,0.727272727273,0.363636363636
127,Golden State Warriors,8.2,5.1,2016-11-16,2.0,0.0,11.0,11.0,121,Toronto Raptors,8:00 pm,0.8,0.7,1.0,0.0,1.0,0.666666666667,0.8,0.6,0,0.8,0.7
109,Portland Trail Blazers,-4.25,2.54545454545,2016-11-17,1.0,0.0,13.0,12.0,126,Houston Rockets,8:00 pm,0.6,0.6,0.0,0.0,0.666666666667,0.333333333333,0.6,0.6,1,0.583333333333,0.545454545455
73,Milwaukee Bucks,1.0,-3.1,2016-11-17,0.0,1.0,11.0,11.0,96,Miami Heat,7:30 pm,0.5,0.2,0.0,0.0,0.333333333333,0.0,0.4,0.0,1,0.5,0.2
