away_points,away_team,cumpointdiff_away,cumpointdiff_home,date,daysoff_away,daysoff_home,game_count_away,game_count_home,home_points,home_team,time,win10_away,win10_home,win1_away,win1_home,win3_away,win3_home,win5_away,win5_home,winner,winrate_away,winrate_home
102,Boston Celtics,4.5,-0.7,2008-11-15,0.0,0.0,11.0,11.0,97,Milwaukee Bucks,7:30 pm,0.8,0.5,0.0,1.0,0.666666666667,0.666666666667,0.8,0.4,0,0.8,0.5
100,Houston Rockets,2.6,-10.4,2008-11-17,1.0,1.0,11.0,11.0,89,Oklahoma City Thunder,7:00 pm,0.6,0.1,1.0,0.0,0.666666666667,0.0,0.6,0.0,0,0.6,0.1
97,Phoenix Suns,4.09090909091,3.3,2008-11-17,0.0,1.0,12.0,11.0,109,Utah Jazz,7:00 pm,0.7,0.6,1.0,0.0,0.666666666667,0.0,0.8,0.2,1,0.727272727273,0.6
101,New York Knicks,0.2,4.54545454545,2008-11-18,1.0,2.0,11.0,12.0,110,Boston Celtics,7:30 pm,0.6,0.8,0.0,1.0,0.666666666667,0.666666666667,0.6,0.8,1,0.6,0.818181818182
105,Milwaukee Bucks,-1.09090909091,1.4,2008-11-18,2.0,1.0,12.0,11.0,114,Denver Nuggets,7:00 pm,0.5,0.6,0.0,1.0,0.666666666667,0.666666666667,0.4,0.8,1,0.454545454545,0.6
106,Portland Trail Blazers,-1.6,-0.8,2008-11-18,2.0,2.0,11.0,11.0,111,Golden State Warriors,7:30 pm,0.6,0.4,1.0,1.0,0.666666666667,0.666666666667,0.8,0.4,1,0.6,0.4
94,Sacramento Kings,-4.81818181818,-5.7,2008-11-18,1.0,3.0,12.0,11.0,109,Memphis Grizzlies,7:00 pm,0.4,0.3,0.0,0.0,0.333333333333,0.0,0.4,0.2,1,0.363636363636,0.3
89,Cleveland Cavaliers,9.0,2.6,2008-11-19,0.0,2.0,12.0,11.0,96,Detroit Pistons,7:30 pm,0.9,0.7,1.0,0.0,1.0,0.666666666667,1.0,0.6,1,0.818181818182,0.7
96,Dallas Mavericks,-0.454545454545,3.36363636364,2008-11-19,0.0,1.0,12.0,12.0,86,Houston Rockets,7:00 pm,0.4,0.6,1.0,1.0,0.666666666667,0.666666666667,0.4,0.6,0,0.363636363636,0.636363636364
101,Toronto Raptors,-1.5,4.45454545455,2008-11-19,0.0,0.0,11.0,12.0,95,Miami Heat,7:30 pm,0.5,0.6,0.0,1.0,0.333333333333,0.666666666667,0.4,0.6,0,0.5,0.545454545455
108,Los Angeles Clippers,-12.8,-10.4545454545,2008-11-19,1.0,1.0,11.0,12.0,88,Oklahoma City Thunder,7:00 pm,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0,0.1,0.0909090909091
74,Chicago Bulls,0.545454545455,-1.90909090909,2008-11-19,0.0,0.0,12.0,12.0,116,Portland Trail Blazers,7:30 pm,0.4,0.6,0.0,0.0,0.666666666667,0.333333333333,0.4,0.6,1,0.454545454545,0.545454545455
91,Denver Nuggets,2.09090909091,-2.0,2008-11-19,0.0,1.0,12.0,11.0,81,San Antonio Spurs,7:30 pm,0.7,0.5,1.0,1.0,1.0,1.0,0.8,0.8,0,0.636363636364,0.5
94,Milwaukee Bucks,-1.75,4.09090909091,2008-11-19,0.0,1.0,13.0,12.0,105,Utah Jazz,7:00 pm,0.4,0.6,0.0,1.0,0.333333333333,0.333333333333,0.4,0.4,1,0.416666666667,0.636363636364
80,Detroit Pistons,3.0,4.91666666667,2008-11-20,0.0,1.0,12.0,13.0,98,Boston Celtics,8:00 pm,0.7,0.8,1.0,1.0,0.666666666667,0.666666666667,0.8,0.8,1,0.727272727273,0.833333333333
83,Charlotte Bobcats,-5.4,2.09090909091,2008-11-21,2.0,1.0,11.0,12.0,88,Atlanta Hawks,7:30 pm,0.3,0.6,0.0,1.0,0.333333333333,0.333333333333,0.2,0.2,1,0.3,0.636363636364
76,Memphis Grizzlies,-3.81818181818,0.416666666667,2008-11-21,2.0,1.0,12.0,13.0,91,Dallas Mavericks,7:30 pm,0.4,0.4,1.0,1.0,0.333333333333,1.0,0.2,0.6,1,0.363636363636,0.416666666667
115,Chicago Bulls,-3.0,-0.272727272727,2008-11-21,1.0,2.0,13.0,12.0,110,Golden State Warriors,7:30 pm,0.4,0.5,0.0,1.0,0.333333333333,0.666666666667,0.4,0.6,0,0.416666666667,0.454545454545
100,Orlando Magic,6.36363636364,3.5,2008-11-21,2.0,2.0,12.0,11.0,98,Indiana Pacers,7:00 pm,0.8,0.5,1.0,1.0,1.0,0.333333333333,0.8,0.6,0,0.727272727273,0.5
90,Denver Nuggets,2.75,13.5,2008-11-21,1.0,0.0,13.0,11.0,104,Los Angeles Lakers,7:30 pm,0.7,0.9,1.0,1.0,1.0,0.666666666667,0.8,0.8,1,0.666666666667,0.9
87,New York Knicks,-0.636363636364,-2.46153846154,2008-11-21,2.0,1.0,12.0,14.0,104,Milwaukee Bucks,7:30 pm,0.5,0.4,0.0,0.0,0.333333333333,0.0,0.4,0.4,1,0.545454545455,0.384615384615
95,Boston Celtics,5.92307692308,-3.9,2008-11-21,0.0,1.0,14.0,11.0,78,Minnesota Timberwolves,7:00 pm,0.9,0.2,1.0,1.0,1.0,0.333333333333,0.8,0.2,0,0.846153846154,0.2
105,New Orleans Hornets,1.0,-11.25,2008-11-21,1.0,1.0,11.0,13.0,80,Oklahoma City Thunder,8:30 pm,0.5,0.1,0.0,0.0,0.333333333333,0.0,0.4,0.0,0,0.5,0.0833333333333
88,Los Angeles Clippers,-9.81818181818,2.72727272727,2008-11-21,1.0,1.0,12.0,12.0,89,Philadelphia 76ers,7:00 pm,0.2,0.5,1.0,0.0,0.333333333333,0.666666666667,0.4,0.6,1,0.181818181818,0.454545454545
117,Portland Trail Blazers,1.75,-4.53846153846,2008-11-21,1.0,1.0,13.0,14.0,96,Sacramento Kings,7:00 pm,0.6,0.5,1.0,1.0,0.666666666667,0.333333333333,0.6,0.4,0,0.583333333333,0.384615384615
94,Utah Jazz,4.66666666667,-2.72727272727,2008-11-21,1.0,1.0,13.0,12.0,119,San Antonio Spurs,7:30 pm,0.6,0.5,1.0,0.0,0.666666666667,0.666666666667,0.4,0.6,1,0.666666666667,0.454545454545
129,New Jersey Nets,-5.8,-0.818181818182,2008-11-21,2.0,1.0,11.0,12.0,127,Toronto Raptors,7:00 pm,0.4,0.5,0.0,1.0,0.666666666667,0.666666666667,0.4,0.4,0,0.4,0.545454545455
79,Milwaukee Bucks,-1.07142857143,-5.36363636364,2008-11-22,0.0,0.0,15.0,12.0,74,Charlotte Bobcats,7:00 pm,0.4,0.3,1.0,0.0,0.333333333333,0.0,0.4,0.2,0,0.428571428571,0.272727272727
96,Atlanta Hawks,2.33333333333,7.66666666667,2008-11-22,0.0,2.0,13.0,13.0,110,Cleveland Cavaliers,7:30 pm,0.6,0.8,1.0,0.0,0.666666666667,0.666666666667,0.4,0.8,1,0.666666666667,0.75
103,Utah Jazz,2.38461538462,-4.75,2008-11-22,0.0,0.0,14.0,13.0,94,Memphis Grizzlies,7:00 pm,0.5,0.3,0.0,0.0,0.666666666667,0.333333333333,0.4,0.2,0,0.615384615385,0.333333333333
100,Indiana Pacers,3.0,3.58333333333,2008-11-22,0.0,2.0,12.0,13.0,109,Miami Heat,7:30 pm,0.5,0.5,0.0,0.0,0.333333333333,0.333333333333,0.4,0.4,1,0.454545454545,0.5
95,Los Angeles Clippers,-9.08333333333,-5.09090909091,2008-11-22,0.0,0.0,13.0,12.0,112,New Jersey Nets,7:30 pm,0.2,0.4,0.0,1.0,0.333333333333,0.666666666667,0.2,0.6,1,0.166666666667,0.454545454545
97,Oklahoma City Thunder,-12.3076923077,3.18181818182,2008-11-22,0.0,0.0,14.0,12.0,109,New Orleans Hornets,7:00 pm,0.0,0.5,0.0,1.0,0.0,0.333333333333,0.0,0.4,1,0.0769230769231,0.545454545455
117,Washington Wizards,-9.2,-2.0,2008-11-22,0.0,0.0,11.0,13.0,122,New York Knicks,7:30 pm,0.1,0.5,0.0,0.0,0.0,0.0,0.2,0.4,1,0.1,0.5
100,Houston Rockets,3.0,6.0,2008-11-22,0.0,0.0,14.0,13.0,95,Orlando Magic,7:00 pm,0.5,0.9,1.0,1.0,0.666666666667,1.0,0.6,1.0,0,0.615384615385,0.75
92,Portland Trail Blazers,3.23076923077,1.53846153846,2008-11-22,0.0,1.0,14.0,14.0,102,Phoenix Suns,7:00 pm,0.7,0.6,1.0,0.0,0.666666666667,0.333333333333,0.6,0.4,1,0.615384615385,0.615384615385
101,Chicago Bulls,-2.38461538462,1.46153846154,2008-11-23,1.0,1.0,14.0,14.0,114,Denver Nuggets,7:00 pm,0.4,0.7,1.0,0.0,0.333333333333,0.666666666667,0.6,0.8,1,0.461538461538,0.615384615385
106,Minnesota Timberwolves,-5.09090909091,1.25,2008-11-23,1.0,2.0,12.0,13.0,80,Detroit Pistons,6:00 pm,0.1,0.6,0.0,0.0,0.333333333333,0.333333333333,0.2,0.6,0,0.181818181818,0.666666666667
108,Sacramento Kings,-5.71428571429,13.5454545455,2008-11-23,1.0,1.0,15.0,12.0,118,Los Angeles Lakers,6:30 pm,0.5,0.9,0.0,1.0,0.333333333333,1.0,0.2,0.8,1,0.357142857143,0.909090909091
81,Golden State Warriors,-0.666666666667,2.58333333333,2008-11-23,1.0,1.0,13.0,13.0,89,Philadelphia 76ers,5:00 pm,0.5,0.5,0.0,1.0,0.666666666667,0.666666666667,0.6,0.8,1,0.416666666667,0.5
118,Boston Celtics,6.71428571429,-0.916666666667,2008-11-23,1.0,1.0,15.0,13.0,103,Toronto Raptors,12:30 pm,0.9,0.4,1.0,0.0,1.0,0.333333333333,0.8,0.4,0,0.857142857143,0.5
84,Philadelphia 76ers,3.0,-5.33333333333,2008-11-24,0.0,1.0,14.0,13.0,93,Charlotte Bobcats,7:00 pm,0.6,0.2,1.0,0.0,0.666666666667,0.0,0.8,0.2,1,0.538461538462,0.25
99,New Orleans Hornets,3.91666666667,-9.69230769231,2008-11-24,1.0,1.0,13.0,14.0,87,Los Angeles Clippers,7:30 pm,0.5,0.2,1.0,0.0,0.666666666667,0.333333333333,0.6,0.2,0,0.583333333333,0.153846153846
94,San Antonio Spurs,-0.416666666667,-5.07692307692,2008-11-24,2.0,1.0,13.0,14.0,81,Memphis Grizzlies,7:00 pm,0.6,0.3,1.0,0.0,0.666666666667,0.333333333333,0.8,0.2,0,0.5,0.307692307692
107,Houston Rockets,3.14285714286,4.0,2008-11-24,1.0,1.0,15.0,14.0,98,Miami Heat,7:30 pm,0.6,0.6,1.0,1.0,0.666666666667,0.666666666667,0.8,0.6,0,0.642857142857,0.538461538462
101,Milwaukee Bucks,-0.666666666667,5.15384615385,2008-11-24,1.0,1.0,16.0,14.0,108,Orlando Magic,7:00 pm,0.4,0.8,1.0,0.0,0.666666666667,0.666666666667,0.4,0.8,1,0.466666666667,0.692307692308
90,Sacramento Kings,-6.0,2.28571428571,2008-11-24,0.0,1.0,16.0,15.0,91,Portland Trail Blazers,7:00 pm,0.4,0.7,0.0,0.0,0.333333333333,0.666666666667,0.2,0.6,1,0.333333333333,0.571428571429
101,Chicago Bulls,-3.14285714286,2.85714285714,2008-11-24,0.0,1.0,15.0,15.0,100,Utah Jazz,7:00 pm,0.4,0.5,0.0,1.0,0.333333333333,0.666666666667,0.4,0.6,0,0.428571428571,0.642857142857
106,Indiana Pacers,2.0,1.53846153846,2008-11-25,2.0,3.0,13.0,14.0,109,Dallas Mavericks,7:30 pm,0.4,0.5,0.0,1.0,0.333333333333,1.0,0.2,0.8,1,0.416666666667,0.461538461538
93,New Jersey Nets,-3.25,13.25,2008-11-25,2.0,1.0,13.0,13.0,120,Los Angeles Lakers,7:30 pm,0.5,0.9,1.0,1.0,0.666666666667,1.0,0.8,0.8,1,0.5,0.916666666667
119,Cleveland Cavaliers,8.15384615385,-1.46153846154,2008-11-25,2.0,2.0,14.0,14.0,101,New York Knicks,7:30 pm,0.9,0.6,1.0,1.0,0.666666666667,0.333333333333,0.8,0.4,0,0.769230769231,0.538461538462
99,Phoenix Suns,2.14285714286,-12.2857142857,2008-11-25,2.0,2.0,15.0,15.0,98,Oklahoma City Thunder,7:00 pm,0.6,0.0,1.0,0.0,0.333333333333,0.0,0.6,0.0,0,0.642857142857,0.0714285714286
100,Golden State Warriors,-1.23076923077,-8.81818181818,2008-11-25,1.0,2.0,14.0,12.0,124,Washington Wizards,7:00 pm,0.4,0.1,0.0,0.0,0.333333333333,0.0,0.4,0.0,1,0.384615384615,0.0909090909091
96,Milwaukee Bucks,-1.0625,1.07692307692,2008-11-26,1.0,3.0,17.0,14.0,102,Atlanta Hawks,7:00 pm,0.4,0.5,0.0,0.0,0.666666666667,0.666666666667,0.4,0.4,1,0.4375,0.615384615385
111,Golden State Warriors,-2.85714285714,7.26666666667,2008-11-26,0.0,2.0,15.0,16.0,119,Boston Celtics,7:30 pm,0.4,0.9,0.0,1.0,0.0,1.0,0.4,1.0,1,0.357142857143,0.866666666667
82,Oklahoma City Thunder,-11.5333333333,8.85714285714,2008-11-26,0.0,0.0,16.0,15.0,117,Cleveland Cavaliers,7:00 pm,0.0,0.9,0.0,1.0,0.0,0.666666666667,0.0,0.8,1,0.0666666666667,0.785714285714
96,New York Knicks,-2.64285714286,-0.846153846154,2008-11-26,0.0,2.0,15.0,14.0,110,Detroit Pistons,8:00 pm,0.5,0.5,0.0,0.0,0.333333333333,0.333333333333,0.2,0.4,1,0.5,0.615384615385
91,Indiana Pacers,1.61538461538,3.53333333333,2008-11-26,0.0,1.0,14.0,16.0,90,Houston Rockets,7:30 pm,0.4,0.7,0.0,1.0,0.0,1.0,0.2,0.8,0,0.384615384615,0.666666666667
106,Denver Nuggets,2.28571428571,-9.85714285714,2008-11-26,2.0,1.0,15.0,15.0,105,Los Angeles Clippers,7:30 pm,0.8,0.2,1.0,0.0,0.666666666667,0.0,0.8,0.2,0,0.642857142857,0.142857142857
110,Phoenix Suns,2.06666666667,-2.5,2008-11-26,0.0,2.0,16.0,13.0,102,Minnesota Timberwolves,7:00 pm,0.6,0.2,1.0,1.0,0.666666666667,0.666666666667,0.6,0.4,0,0.666666666667,0.25
96,Orlando Magic,5.28571428571,2.14285714286,2008-11-26,1.0,1.0,15.0,15.0,94,Philadelphia 76ers,7:30 pm,0.8,0.5,1.0,0.0,0.666666666667,0.666666666667,0.8,0.6,0,0.714285714286,0.5
68,Miami Heat,3.07142857143,2.2,2008-11-26,1.0,1.0,15.0,16.0,106,Portland Trail Blazers,7:00 pm,0.5,0.7,0.0,1.0,0.333333333333,0.666666666667,0.4,0.6,1,0.5,0.6
116,New Jersey Nets,-5.07692307692,-5.6875,2008-11-26,0.0,1.0,14.0,17.0,114,Sacramento Kings,7:00 pm,0.5,0.3,0.0,0.0,0.666666666667,0.0,0.6,0.2,0,0.461538461538,0.3125
88,Chicago Bulls,-2.86666666667,0.615384615385,2008-11-26,1.0,1.0,16.0,14.0,98,San Antonio Spurs,7:30 pm,0.5,0.7,1.0,1.0,0.666666666667,0.666666666667,0.4,0.8,1,0.466666666667,0.538461538462
86,Charlotte Bobcats,-4.23076923077,-2.0,2008-11-26,1.0,2.0,14.0,14.0,93,Toronto Raptors,7:00 pm,0.3,0.3,1.0,0.0,0.333333333333,0.333333333333,0.2,0.4,1,0.307692307692,0.461538461538
100,Memphis Grizzlies,-5.64285714286,2.6,2008-11-26,1.0,1.0,15.0,16.0,117,Utah Jazz,7:00 pm,0.2,0.4,0.0,0.0,0.0,0.333333333333,0.2,0.6,1,0.285714285714,0.6
105,New Orleans Hornets,4.53846153846,2.2,2008-11-27,2.0,0.0,14.0,16.0,101,Denver Nuggets,8:30 pm,0.5,0.8,1.0,1.0,1.0,0.666666666667,0.6,0.8,0,0.615384615385,0.666666666667
105,Orlando Magic,5.06666666667,-6.08333333333,2008-11-27,0.0,1.0,16.0,13.0,90,Washington Wizards,8:00 pm,0.8,0.2,1.0,1.0,0.666666666667,0.333333333333,0.8,0.2,0,0.733333333333,0.166666666667
