afterOT_away,afterOT_home,away_points,away_team,cumpointdiff_away,cumpointdiff_home,date,daysoff_away,daysoff_home,game_count_away,game_count_home,home_points,home_team,overtime,time,win10_away,win10_home,win1_away,win1_home,win3_away,win3_home,win5_away,win5_home,winner,winrate_away,winrate_home
0.0,0.0,95,Orlando Magic,7.18181818182,9.09090909091,2007-11-19,0.0,1.0,12.0,12.0,88,New Orleans Hornets,0,7:00 pm,0.8,0.8,1.0,1.0,1.0,1.0,0.8,1.0,0,0.818181818182,0.818181818182
0.0,0.0,75,New Jersey Nets,-8.0,4.90909090909,2007-11-19,1.0,1.0,11.0,12.0,102,Utah Jazz,0,7:00 pm,0.4,0.6,0.0,0.0,0.0,0.333333333333,0.0,0.6,1,0.4,0.636363636364
0.0,0.0,100,Phoenix Suns,6.6,-5.4,2007-11-20,2.0,1.0,11.0,11.0,98,Sacramento Kings,0,7:00 pm,0.8,0.4,1.0,1.0,1.0,0.666666666667,1.0,0.6,0,0.8,0.4
0.0,0.0,114,Washington Wizards,0.5,-2.0,2007-11-21,0.0,1.0,11.0,11.0,111,Charlotte Bobcats,1,7:00 pm,0.5,0.6,1.0,1.0,1.0,0.666666666667,1.0,0.6,0,0.5,0.6
0.0,0.0,86,New York Knicks,-8.3,3.7,2007-11-21,0.0,2.0,11.0,11.0,98,Detroit Pistons,0,8:00 pm,0.2,0.6,0.0,0.0,0.0,0.333333333333,0.0,0.4,1,0.2,0.6
0.0,0.0,100,Dallas Mavericks,7.4,1.36363636364,2007-11-21,0.0,3.0,11.0,12.0,94,Houston Rockets,0,6:30 pm,0.8,0.5,1.0,0.0,1.0,0.0,0.8,0.2,0,0.8,0.545454545455
0.0,0.0,95,Toronto Raptors,2.90909090909,-2.7,2007-11-21,0.0,1.0,12.0,11.0,89,Memphis Grizzlies,0,7:00 pm,0.4,0.3,0.0,1.0,0.333333333333,0.333333333333,0.4,0.4,0,0.454545454545,0.3
0.0,0.0,82,Atlanta Hawks,-4.0,-4.8,2007-11-21,0.0,3.0,11.0,11.0,79,Miami Heat,0,7:30 pm,0.3,0.2,0.0,1.0,0.0,0.333333333333,0.2,0.4,0,0.3,0.2
0.0,0.0,105,Indiana Pacers,-4.27272727273,7.75,2007-11-21,0.0,1.0,12.0,13.0,93,New Orleans Hornets,0,7:00 pm,0.3,0.7,0.0,0.0,0.333333333333,0.666666666667,0.2,0.8,0,0.363636363636,0.75
0.0,0.0,111,Sacramento Kings,-5.09090909091,6.18181818182,2007-11-21,0.0,0.0,12.0,12.0,127,Phoenix Suns,0,7:00 pm,0.4,0.8,0.0,1.0,0.666666666667,1.0,0.4,1.0,1,0.363636363636,0.818181818182
0.0,0.0,106,New Jersey Nets,-9.72727272727,-5.0,2007-11-21,1.0,1.0,12.0,12.0,101,Portland Trail Blazers,0,7:00 pm,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0,0.363636363636,0.363636363636
0.0,0.0,110,Orlando Magic,7.16666666667,7.90909090909,2007-11-21,1.0,0.0,13.0,12.0,128,San Antonio Spurs,0,7:30 pm,0.9,0.8,1.0,1.0,1.0,0.666666666667,1.0,0.8,1,0.833333333333,0.818181818182
0.0,0.0,94,Los Angeles Lakers,6.36363636364,14.2,2007-11-23,1.0,1.0,12.0,11.0,107,Boston Celtics,0,7:30 pm,0.7,0.9,0.0,1.0,0.666666666667,0.666666666667,0.8,0.8,1,0.636363636364,0.9
0.0,0.0,78,Philadelphia 76ers,-4.0,4.45454545455,2007-11-23,2.0,1.0,11.0,12.0,83,Detroit Pistons,0,8:00 pm,0.3,0.6,0.0,1.0,0.333333333333,0.333333333333,0.2,0.4,1,0.3,0.636363636364
0.0,0.0,107,Dallas Mavericks,7.27272727273,-2.91666666667,2007-11-23,1.0,1.0,12.0,13.0,111,Indiana Pacers,0,8:00 pm,0.8,0.3,1.0,1.0,1.0,0.666666666667,1.0,0.4,1,0.818181818182,0.416666666667
0.0,0.0,91,Houston Rockets,0.75,-4.63636363636,2007-11-23,1.0,1.0,13.0,12.0,98,Miami Heat,0,8:00 pm,0.4,0.2,0.0,0.0,0.0,0.333333333333,0.0,0.2,1,0.5,0.181818181818
1.0,0.0,92,Charlotte Bobcats,-2.09090909091,5.23076923077,2007-11-23,1.0,1.0,12.0,14.0,105,Orlando Magic,0,7:00 pm,0.5,0.8,0.0,0.0,0.666666666667,0.666666666667,0.6,0.8,1,0.545454545455,0.769230769231
0.0,0.0,94,Los Angeles Clippers,-1.3,7.0,2007-11-23,1.0,1.0,11.0,13.0,113,Phoenix Suns,0,7:00 pm,0.6,0.9,1.0,1.0,0.333333333333,1.0,0.4,1.0,1,0.6,0.833333333333
0.0,0.0,84,Sacramento Kings,-6.0,-5.0,2007-11-23,1.0,1.0,13.0,13.0,87,Portland Trail Blazers,0,7:00 pm,0.4,0.4,0.0,0.0,0.333333333333,0.0,0.4,0.0,1,0.333333333333,0.333333333333
0.0,0.0,88,Memphis Grizzlies,-3.0,8.75,2007-11-23,1.0,1.0,12.0,13.0,101,San Antonio Spurs,0,7:30 pm,0.3,0.8,0.0,1.0,0.333333333333,1.0,0.2,0.8,1,0.272727272727,0.833333333333
0.0,0.0,98,New Jersey Nets,-8.5,-8.75,2007-11-23,1.0,3.0,13.0,13.0,93,Seattle SuperSonics,0,7:30 pm,0.4,0.2,1.0,0.0,0.333333333333,0.333333333333,0.2,0.4,0,0.416666666667,0.166666666667
0.0,0.0,71,New Orleans Hornets,6.23076923077,6.75,2007-11-23,1.0,3.0,14.0,13.0,99,Utah Jazz,0,7:00 pm,0.6,0.7,0.0,1.0,0.333333333333,0.333333333333,0.6,0.6,1,0.692307692308,0.666666666667
0.0,1.0,123,Golden State Warriors,-4.0,0.727272727273,2007-11-23,1.0,1.0,11.0,12.0,115,Washington Wizards,0,7:00 pm,0.3,0.6,0.0,1.0,0.666666666667,1.0,0.6,1.0,0,0.3,0.545454545455
0.0,0.0,96,Boston Celtics,14.0909090909,-3.0,2007-11-24,0.0,0.0,12.0,13.0,95,Charlotte Bobcats,0,7:00 pm,0.9,0.4,1.0,0.0,0.666666666667,0.333333333333,0.8,0.4,0,0.909090909091,0.5
