afterOT_away,afterOT_home,away_points,away_team,cumpointdiff_away,cumpointdiff_home,date,daysoff_away,daysoff_home,game_count_away,game_count_home,home_points,home_team,overtime,time,win10_away,win10_home,win1_away,win1_home,win3_away,win3_home,win5_away,win5_home,winner,winrate_away,winrate_home
0.0,0.0,88,Boston Celtics,-2.1,7.3,2013-11-16,0.0,0.0,11.0,11.0,106,Minnesota Timberwolves,0,8:00 pm,0.4,0.6,0.0,0.0,0.333333333333,0.333333333333,0.6,0.6,1,0.4,0.6
0.0,0.0,94,Philadelphia 76ers,-6.54545454545,3.0,2013-11-18,1.0,1.0,12.0,11.0,97,Dallas Mavericks,0,8:30 pm,0.4,0.6,0.0,1.0,0.333333333333,0.666666666667,0.2,0.6,1,0.454545454545,0.6
0.0,0.0,106,Memphis Grizzlies,-2.4,4.3,2013-11-18,0.0,1.0,11.0,11.0,102,Los Angeles Clippers,0,10:30 pm,0.5,0.7,1.0,1.0,0.666666666667,1.0,0.6,0.8,0,0.5,0.7
0.0,0.0,98,Golden State Warriors,7.7,-11.5454545455,2013-11-18,1.0,1.0,11.0,12.0,87,Utah Jazz,0,9:00 pm,0.7,0.1,1.0,0.0,1.0,0.333333333333,0.6,0.2,0,0.7,0.0909090909091
0.0,0.0,85,Boston Celtics,-3.54545454545,2.54545454545,2013-11-19,2.0,2.0,12.0,12.0,109,Houston Rockets,0,8:00 pm,0.4,0.6,0.0,1.0,0.0,0.666666666667,0.4,0.6,1,0.363636363636,0.636363636364
0.0,0.0,88,Atlanta Hawks,4.4,7.5,2013-11-19,2.0,2.0,11.0,11.0,104,Miami Heat,0,7:30 pm,0.6,0.7,1.0,1.0,0.666666666667,1.0,0.8,0.8,1,0.6,0.7
0.0,0.0,85,Detroit Pistons,-2.5,2.54545454545,2013-11-20,0.0,0.0,11.0,12.0,93,Atlanta Hawks,0,7:30 pm,0.4,0.6,1.0,0.0,0.666666666667,0.666666666667,0.4,0.6,1,0.4,0.545454545455
0.0,0.0,91,Brooklyn Nets,-5.3,-4.45454545455,2013-11-20,1.0,1.0,11.0,12.0,95,Charlotte Bobcats,0,7:00 pm,0.3,0.5,0.0,0.0,0.333333333333,0.333333333333,0.2,0.4,1,0.3,0.454545454545
0.0,1.0,98,Washington Wizards,-3.7,-7.0,2013-11-20,0.0,3.0,11.0,12.0,91,Cleveland Cavaliers,0,7:00 pm,0.3,0.3,1.0,1.0,0.333333333333,0.333333333333,0.2,0.4,0,0.3,0.363636363636
0.0,0.0,120,Houston Rockets,4.33333333333,3.0,2013-11-20,0.0,1.0,13.0,12.0,123,Dallas Mavericks,0,9:30 pm,0.6,0.6,1.0,1.0,1.0,0.666666666667,0.8,0.8,1,0.666666666667,0.636363636364
